Name,Address,Location,Contact_number,Open_days,Open_hours,Rush_hours,Rush_days,Common_Services,Charging_ports,Wheelchair_Access,Hair_steamer,Hair_Dryer,Neck_Duster,Razor,Towels,Scissors,Comb,Curling_iron,Flat_iron,Clippers,Powder_brush,Beard_Liner_Tool,Tool_rack,Glass_windows,Air_condition,Charging_ports,WiFi_Availability,Cleanliness,Seat_count,Seat_brand,Seat_color,Seat_material,Adjustable,Footrest,Headrest,Mirror_type,Mirror_shape,Mirror_size,TV_Brand,TV_count,Waiting_seat_Count,Waiting_seat_type,Gender_Type,Trash_Bins,Air_Freshener,Hand_Dryer,Parking_Capacity,Parking_type,Parking_covered,Payment_methods,Min_price,Max_price,Avarage_bill,Discount_policy,Ongoing_offers,complimentary_items,Service_access_type,appointment_method,Appointment_reminders
salon seed,"47/1/1,High level road,kirulapona",Kirulapona,772220898,All week,9.00 a.m to 10.00 p.m,4.00 p.m to 7.00 p.m,"Saturday, Sunday","hair cut,hair coloring, waxing",yes,no,1,3,7,5,10,5,5,2,2,15,6,5,6,yes,yes,yes,no,4,6,Damro,Black,leather,yes,yes,yes,Wall mounted,Rectangle,6ft * 2ft,LG,1,8,bench,Both,yes,yes,yes,3,outdoor,no,"Cash, Card, Bank transfer",600,2000,800 - 1500,no,yes,no,Both appointment and walk-in,Phone call,yes
royal barber,"24/2, high level road,kirulapona",Kirulapona,740751093,All week,8.00a.m to 10.00 p.m,4.00p.m to 6.00 p.m,"Saturday, Sunday","hair cut, shaving, hair coloring",yes,no,1,2,4,4,6,3,4,1,1,20,2,3,2,yes,no,yes,no,3.5,2,modern,Black,vinly,yes,no,yes,Wall mounted,Rectangle,4ft * 5ft,LG,1,6,chair,men,yes,no,no,4,outdoor,yes,Cash,500,1000,700 - 1200,no,no,no,Both appointment and walk-in,Phone call,no
timmers lounge,"215 havelock road,colombo 05",havelock,773555759,all week,10.00 a.m to 10.00 p.m,4.00 p.m to 7.00 p.m,"Saturday, Sunday, Monday","hair cut, waxing, massage",yes,yes,2,4,4,5,100,5,5,3,2,80,4,4,4,no,yes,yes,yes,4.7,4,singer,black,leather,yes,yes,yes,Wall mounted,oval, -,Dialog,1,4,sofa,both,yes,yes,yes,5,outdoor,no,"Cash, Card, Bank transfer",800,2500,1000 - 2000,no,yes,yes,Both appointment and walk-in,Phone call,yes
cut n shave,"114 A Thimbirigasyaya Rd, Colombo 05",Thimbirigasyaya,776883448,all week,9.00 a.m to 11.00 p.m,4.00 p.m to 6.00 p.m,"Saturday, Sunday","hair cut, hair treatment, massage",yes,yes,2,5,6,5,8,5,4,3,1,10,6,4,5,yes,yes,yes,yes,4.3,5,Damro,ash,leather,yes,yes,yes,standing,square,6ft *6ft,samsung,1,2,sofa,both,yes,yes,yes,3,outdoor,no,"Cash, Bank transfer, koko",800,1200,1000 - 1500,no,no,no,,Phone call,no
Salon Catherine,"2A, Stanford Avenue, kirulapana, Colombo 06",Kirulapona,765923911,week days,10.00 a.m to 7.00 p.m ,12.00 p.m - 6.00 p.m,"Monday, Friday","facial treatment, waxing, nail polishing",yes,yes,3,4,5,3,6,3,5,4,5,20,4,4,5,no,yes,yes,yes,4.7,6,modern,Black,vinly,yes,yes,yes,wall mounted,Rectangle,5ft * 3ft,Dialog,2,5,sofa,ladies,yes,yes,yes,5,outdoor,no,"Cash, Bank transfer",1000,2500,1500 - 3000,yes,yes,yes,Both appointment and walk-in,"Phone call, Instagram",yes
La Passion salon,"25 Marine Drive, Colombo 04",Marine Drive,112588701,week days,9.00 a.m to 7.00 p.m ,5.00 p.m - 7.00 p.m,Friday,"facial treatment, waxing",yes,no,2,4,3,6,25,4,4,4,2,20,5,4,5,no,no,yes,no,3.5,5,singer,Black,leather,yes,yes,yes,Wall mounted,square,4ft *4ft,LG,1,1,sofa,ladies,yes,yes,yes,4,outdoor,yes,"Cash, Bank transfer, card",500,1000,600 - 1000,no,yes,no,,Phone call,no
Cloudnine Beauty Salon,"67,W.A.Silva mawatha, Galle Rd, Colombo",Wellawatte,777803082,All week,10.00 a.m to 7.00 p.m ,4.00p.m to 6.00 p.m,"Saturday, Sunday","facial treatment, waxing, nail polishing",yes,yes,3,5,4,5,10,4,4,3,2,20,5,5,5,no,yes,yes,no,4.6,5,Damro,maroon,vinly,yes,yes,yes,Wall mounted,Rectangle,5ft * 3ft,LG,1,5,chair,ladies,yes,yes,yes,5,outdoor,yes,"Cash, Bank transfer, koko",700,1000,1000 - 1500,no,yes,no,Both appointment and walk-in,Phone call,no
salon anoma,"268, Bambalapitiya Flats, Galle Rd",Bambalapitiya,112588848,All week,9.00 a.m to 7.30 p.m ,4.00 p.m to 6.00 p.m,"Saturday, Sunday, Monday","hair cut, hair coloring, hair treatment",yes,yes,3,7,8,7,100,7,9,4,4,40,7,8,9,no,yes,yes,no,4.8,8,modern,black,leather,yes,yes,yes,Wall mounted,oval, - ,Dialog,1,4,sofa,Both,yes,yes,yes,10,indoor,yes,"Cash, Bank transfer",500,1000,1200 - 1700,no,yes,yes,Appointment only,Phone call,no
Salon Sampath,"165/30 green path,kollupitiya",Kollupitiya,717892507,week days,9.00 a.m to 11.00 p.m,4.00 p.m to 7.00 p.m,Friday,"hair cut, hair coloring, hair treatment",yes,yes,1,1,4,6,300,6,5,5,3,45,5,6,7,yes,yes,yes,no,4.6,9,modern,Black,leather,yes,no,yes,Wall mounted,square,5ft *5ft,Dialog,1,6,chair,men,yes,yes,no,4,outdoor,no,"Cash, Card, Bank transfer",400,1400,850 - 1500,no,no,no,Both appointment and walk-in,Phone call,no
Just cuts  ,"56 thimbirigasyaya road, colombo 05",Thimbirigasyaya,777938502,All week,8.00a.m to 9.00 p.m,4.00 p.m to 6.00 p.m,"Saturday, Sunday, Monday","hair cut,hair coloring, waxing",yes,no ,1,3,4,4,8,5,5,3,3,15,4,5,5,yes,no,no,no,4,6,singer,Black,leather,yes,yes,yes,Wall mounted,Rectangle,6ft * 2ft,LG,1,2,bench,men,yes,yes,yes,10,outdoor,no,"Cash, Bank transfer, koko",600,1800,900 - 1200,no,yes,no,Both appointment and walk-in,"Phone call, SMS/WhatsApp, Through the website, Facebook, Instagram",yes
